"","gene_name"
"1139","Zfp791"
"1140","Zfp804b"
"1141","Zfp862-ps"
"1142","Zfp994"
"1143","Zic1"
"1144","Zic2"
"1145","Zmiz1"
"1146","Zmiz2"
"1147","Zmym2"
"1148","Zmynd8"
