"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"16566","ENSMUSG00000110862",3.31199092576329,1.00117996987614,12.2823207424882,3.31903022336387e-09,1.5147743109844e-06,11.084503244737,"Gm35835"
"17340","ENSMUSG00000121724",12.1550423882649,-2.49946436465184,12.7760025158519,1.93371539811386e-09,1.5147743109844e-06,8.87455635261326,"Ppp1ccb"
"4220","ENSMUSG00000025375",-1.86302259620263,6.76193282663844,-11.9530388101279,4.80732037329368e-09,1.60897314955391e-06,11.1868437623653,"Aatk"
"4511","ENSMUSG00000026111",1.69311921970273,5.33854385587255,11.9266969039227,4.95372063203911e-09,1.62668969584922e-06,11.1523880411303,"Unc50"
"2914","ENSMUSG00000022013",2.31292462720614,5.36092543986386,11.8956097335657,5.13259954976073e-09,1.65421782525992e-06,11.1131325537998,"Dnajc15"
"8642","ENSMUSG00000036438",1.74942464665122,10.3596735397632,11.8519055649948,5.39575055510632e-09,1.6674131864834e-06,11.0605210817837,"Calm2"
"13453","ENSMUSG00000063694",1.62878602833608,6.6304215782685,11.8687562073005,5.2926335542031e-09,1.6674131864834e-06,11.0685317984542,"Cycs"
"16754","ENSMUSG00000113771",3.12502514464726,0.00786318835971519,11.8414247977776,5.46096021774039e-09,1.6674131864834e-06,10.1898697921688,"Gm36529"
"722","ENSMUSG00000005362",1.57543570113108,5.56438846794765,11.8050166451818,5.69405728647613e-09,1.69467038819144e-06,11.0088323917829,"Crbn"
"15937","ENSMUSG00000101249",10.49807971038,1.62206456255767,11.7972739757428,5.74497545985378e-09,1.69467038819144e-06,10.5398696816421,"Gm29216"
"8239","ENSMUSG00000034926",-1.40690659234239,7.03895111431477,-11.7676324970611,5.9444138474946e-09,1.69725031163925e-06,10.9665232911946,"Dhcr24"
"8257","ENSMUSG00000034994",-1.62463273807432,10.5819844433492,-11.7660090181112,5.95554711813428e-09,1.69725031163925e-06,10.9566655295992,"Eef2"
"13291","ENSMUSG00000062270",1.5260045173385,8.66336828193174,11.7528963987659,6.04628357398492e-09,1.69725031163925e-06,10.935254847883,"Morf4l1"
"5085","ENSMUSG00000027347",1.49929058179999,4.80928854688536,11.6676272381181,6.6732622044409e-09,1.7123960856692e-06,10.8624448780878,"Rasgrp1"
"5134","ENSMUSG00000027438",1.10504401128131,7.65344680636929,11.658573474604,6.74377225852818e-09,1.7123960856692e-06,10.8215025867943,"Napb"
"6370","ENSMUSG00000030042",1.97939939196087,5.60733857120965,11.6429350569565,6.86743003759466e-09,1.7123960856692e-06,10.8173277821211,"Pole4"
"8694","ENSMUSG00000036622",-2.04994366415141,7.54998075201018,-11.727342591022,6.22734853964569e-09,1.7123960856692e-06,10.9201902165519,"Atp13a2"
"10090","ENSMUSG00000040945",-1.71913002763752,6.01218260994882,-11.6704913109679,6.65112007793231e-09,1.7123960856692e-06,10.8686972586564,"Rcc2"
"11295","ENSMUSG00000047085",-3.19967787890779,7.34636669319665,-11.640441759111,6.88736646729738e-09,1.7123960856692e-06,10.8338725088282,"Lrrc4b"
"13595","ENSMUSG00000066306",-1.67245226011736,6.47516359692559,-11.6702751913028,6.65278817742308e-09,1.7123960856692e-06,10.8652242472662,"Numa1"
"14559","ENSMUSG00000078919",1.98281618699048,3.97414096410021,11.6968394921108,6.45103920221352e-09,1.7123960856692e-06,10.8980291337724,"Dpm1"
"8861","ENSMUSG00000037196",1.6340665741119,3.41343394992827,11.6239681517336,7.02064121058725e-09,1.72094703702902e-06,10.7935757579711,"Pacrg"
"388","ENSMUSG00000002728",2.2157610534082,5.72024685907378,11.560637171672,7.55902008226145e-09,1.73101559883787e-06,10.7200321221161,"Naa20"
"5721","ENSMUSG00000028664",-2.07242519587649,6.92798252563863,-11.5763574450905,7.42141988401332e-09,1.73101559883787e-06,10.7544676697845,"Ephb2"
"8301","ENSMUSG00000035171",2.45298592716603,5.07635372257179,11.5666014812147,7.50649849892926e-09,1.73101559883787e-06,10.7370645653283,"1110059E24Rik"
"13989","ENSMUSG00000071528",2.99375532575353,7.27923406009436,11.5872122667097,7.32795849538939e-09,1.73101559883787e-06,10.7413220957886,"Atp5mk"
"15328","ENSMUSG00000091537",2.5401386667854,6.802700339443,11.592070586591,7.28653269091736e-09,1.73101559883787e-06,10.7475135021987,"Tma7"
"896","ENSMUSG00000006699",1.29937625794703,8.85856860446648,11.5279445949026,7.85391456534437e-09,1.76838001054408e-06,10.6720237313321,"Cdc42"
"15254","ENSMUSG00000090266",2.4014035066582,4.12145690259117,11.5202156013726,7.92539880616171e-09,1.76838001054408e-06,10.6958200799961,"Mettl23"
"3659","ENSMUSG00000024146",2.35338968765412,5.96870805166466,11.507907188186,8.04066470060392e-09,1.77138896771279e-06,10.6544524142772,"Cript"
"3177","ENSMUSG00000022525",1.98632888433239,2.73720667067604,11.4754685565461,8.35304244147756e-09,1.79476976112933e-06,10.5798336108335,"Plaat1"
